program_id,label_en,label_fr,org_years
ISS02,Communications Services,Services de communication,"{""aafc-aac"": [""2026-2027""], ""cbsa-asfc"": [""2026-2027""], ""cra-arc"": [""2026-2027""], ""cfia-acia"": [""2026-2027""], ""cihr-irsc"": [""2026-2027""], ""csa-asc"": [""2026-2027""], ""csc-scc"": [""2026-2027""], ""pch"": [""2026-2027""], ""cic"": [""2026-2027""], ""fin"": [""2026-2027""], ""dfo-mpo"": [""2026-2027""], ""dfatd-maecd"": [""2026-2027""], ""hc-sc"": [""2026-2027""], ""esdc-edsc"": [""2026-2027""], ""aandc-aadnc"": [""2026-2027""], ""ic"": [""2026-2027""], ""jus"": [""2026-2027""], ""dnd-mdn"": [""2026-2027""], ""nrcan-rncan"": [""2026-2027""], ""ps-sp"": [""2026-2027""], ""pwgsc-tpsgc"": [""2026-2027""], ""tc"": [""2026-2027""], ""vac-acc"": [""2026-2027""], ""nrc-cnrc"": [""2026-2027""], ""nserc-crsng"": [""2026-2027""], ""infc"": [""2026-2027""], ""pc"": [""2026-2027""], ""phac-aspc"": [""2026-2027""], ""rcmp-grc"": [""2026-2027""], ""ssc-spc"": [""2026-2027""], ""sshrc-crsh"": [""2026-2027""], ""statcan"": [""2026-2027""], ""tbs-sct"": [""2026-2027""], ""isc-sac"": [""2026-2027""]}"
ISS03,Legal Services,Services juridiques,"{""aafc-aac"": [""2026-2027""], ""cbsa-asfc"": [""2026-2027""], ""cra-arc"": [""2026-2027""], ""cfia-acia"": [""2026-2027""], ""cihr-irsc"": [""2026-2027""], ""csa-asc"": [""2026-2027""], ""csc-scc"": [""2026-2027""], ""pch"": [""2026-2027""], ""cic"": [""2026-2027""], ""fin"": [""2026-2027""], ""dfo-mpo"": [""2026-2027""], ""dfatd-maecd"": [""2026-2027""], ""hc-sc"": [""2026-2027""], ""esdc-edsc"": [""2026-2027""], ""aandc-aadnc"": [""2026-2027""], ""ic"": [""2026-2027""], ""jus"": [""2026-2027""], ""dnd-mdn"": [""2026-2027""], ""nrcan-rncan"": [""2026-2027""], ""ps-sp"": [""2026-2027""], ""pwgsc-tpsgc"": [""2026-2027""], ""tc"": [""2026-2027""], ""vac-acc"": [""2026-2027""], ""nrc-cnrc"": [""2026-2027""], ""nserc-crsng"": [""2026-2027""], ""infc"": [""2026-2027""], ""pc"": [""2026-2027""], ""phac-aspc"": [""2026-2027""], ""rcmp-grc"": [""2026-2027""], ""ssc-spc"": [""2026-2027""], ""sshrc-crsh"": [""2026-2027""], ""statcan"": [""2026-2027""], ""tbs-sct"": [""2026-2027""], ""isc-sac"": [""2026-2027""]}"
ISS04,Human Resources Management Services,Services de gestion des ressources humaines,"{""aafc-aac"": [""2026-2027""], ""cbsa-asfc"": [""2026-2027""], ""cra-arc"": [""2026-2027""], ""cfia-acia"": [""2026-2027""], ""cihr-irsc"": [""2026-2027""], ""csa-asc"": [""2026-2027""], ""csc-scc"": [""2026-2027""], ""pch"": [""2026-2027""], ""cic"": [""2026-2027""], ""fin"": [""2026-2027""], ""dfo-mpo"": [""2026-2027""], ""dfatd-maecd"": [""2026-2027""], ""hc-sc"": [""2026-2027""], ""esdc-edsc"": [""2026-2027""], ""aandc-aadnc"": [""2026-2027""], ""ic"": [""2026-2027""], ""jus"": [""2026-2027""], ""dnd-mdn"": [""2026-2027""], ""nrcan-rncan"": [""2026-2027""], ""ps-sp"": [""2026-2027""], ""pwgsc-tpsgc"": [""2026-2027""], ""tc"": [""2026-2027""], ""vac-acc"": [""2026-2027""], ""nrc-cnrc"": [""2026-2027""], ""nserc-crsng"": [""2026-2027""], ""infc"": [""2026-2027""], ""pc"": [""2026-2027""], ""phac-aspc"": [""2026-2027""], ""rcmp-grc"": [""2026-2027""], ""ssc-spc"": [""2026-2027""], ""sshrc-crsh"": [""2026-2027""], ""statcan"": [""2026-2027""], ""tbs-sct"": [""2026-2027""], ""isc-sac"": [""2026-2027""]}"
ISS05,Financial Management Services,Services de gestion financière,"{""aafc-aac"": [""2026-2027""], ""cbsa-asfc"": [""2026-2027""], ""cra-arc"": [""2026-2027""], ""cfia-acia"": [""2026-2027""], ""cihr-irsc"": [""2026-2027""], ""csa-asc"": [""2026-2027""], ""csc-scc"": [""2026-2027""], ""pch"": [""2026-2027""], ""cic"": [""2026-2027""], ""fin"": [""2026-2027""], ""dfo-mpo"": [""2026-2027""], ""dfatd-maecd"": [""2026-2027""], ""hc-sc"": [""2026-2027""], ""esdc-edsc"": [""2026-2027""], ""aandc-aadnc"": [""2026-2027""], ""ic"": [""2026-2027""], ""jus"": [""2026-2027""], ""dnd-mdn"": [""2026-2027""], ""nrcan-rncan"": [""2026-2027""], ""ps-sp"": [""2026-2027""], ""pwgsc-tpsgc"": [""2026-2027""], ""tc"": [""2026-2027""], ""vac-acc"": [""2026-2027""], ""nrc-cnrc"": [""2026-2027""], ""nserc-crsng"": [""2026-2027""], ""infc"": [""2026-2027""], ""pc"": [""2026-2027""], ""phac-aspc"": [""2026-2027""], ""rcmp-grc"": [""2026-2027""], ""ssc-spc"": [""2026-2027""], ""sshrc-crsh"": [""2026-2027""], ""statcan"": [""2026-2027""], ""tbs-sct"": [""2026-2027""], ""isc-sac"": [""2026-2027""]}"
ISS06,Information Management Services,Services de gestion de l'information,"{""aafc-aac"": [""2026-2027""], ""cbsa-asfc"": [""2026-2027""], ""cra-arc"": [""2026-2027""], ""cfia-acia"": [""2026-2027""], ""cihr-irsc"": [""2026-2027""], ""csa-asc"": [""2026-2027""], ""csc-scc"": [""2026-2027""], ""pch"": [""2026-2027""], ""cic"": [""2026-2027""], ""fin"": [""2026-2027""], ""dfo-mpo"": [""2026-2027""], ""dfatd-maecd"": [""2026-2027""], ""hc-sc"": [""2026-2027""], ""esdc-edsc"": [""2026-2027""], ""aandc-aadnc"": [""2026-2027""], ""ic"": [""2026-2027""], ""jus"": [""2026-2027""], ""dnd-mdn"": [""2026-2027""], ""nrcan-rncan"": [""2026-2027""], ""ps-sp"": [""2026-2027""], ""pwgsc-tpsgc"": [""2026-2027""], ""tc"": [""2026-2027""], ""vac-acc"": [""2026-2027""], ""nrc-cnrc"": [""2026-2027""], ""nserc-crsng"": [""2026-2027""], ""infc"": [""2026-2027""], ""pc"": [""2026-2027""], ""phac-aspc"": [""2026-2027""], ""rcmp-grc"": [""2026-2027""], ""ssc-spc"": [""2026-2027""], ""sshrc-crsh"": [""2026-2027""], ""statcan"": [""2026-2027""], ""tbs-sct"": [""2026-2027""], ""isc-sac"": [""2026-2027""]}"
ISS07,Information Technology Services,Services de la technologie de l'information,"{""aafc-aac"": [""2026-2027""], ""cbsa-asfc"": [""2026-2027""], ""cra-arc"": [""2026-2027""], ""cfia-acia"": [""2026-2027""], ""cihr-irsc"": [""2026-2027""], ""csa-asc"": [""2026-2027""], ""csc-scc"": [""2026-2027""], ""pch"": [""2026-2027""], ""cic"": [""2026-2027""], ""fin"": [""2026-2027""], ""dfo-mpo"": [""2026-2027""], ""dfatd-maecd"": [""2026-2027""], ""hc-sc"": [""2026-2027""], ""esdc-edsc"": [""2026-2027""], ""aandc-aadnc"": [""2026-2027""], ""ic"": [""2026-2027""], ""jus"": [""2026-2027""], ""dnd-mdn"": [""2026-2027""], ""nrcan-rncan"": [""2026-2027""], ""ps-sp"": [""2026-2027""], ""pwgsc-tpsgc"": [""2026-2027""], ""tc"": [""2026-2027""], ""vac-acc"": [""2026-2027""], ""nrc-cnrc"": [""2026-2027""], ""nserc-crsng"": [""2026-2027""], ""infc"": [""2026-2027""], ""pc"": [""2026-2027""], ""phac-aspc"": [""2026-2027""], ""rcmp-grc"": [""2026-2027""], ""ssc-spc"": [""2026-2027""], ""sshrc-crsh"": [""2026-2027""], ""statcan"": [""2026-2027""], ""tbs-sct"": [""2026-2027""], ""isc-sac"": [""2026-2027""]}"
ISS08,Real Property Management Services,Services de gestion des biens immobiliers,"{""aafc-aac"": [""2026-2027""], ""cbsa-asfc"": [""2026-2027""], ""cra-arc"": [""2026-2027""], ""cfia-acia"": [""2026-2027""], ""cihr-irsc"": [""2026-2027""], ""csa-asc"": [""2026-2027""], ""csc-scc"": [""2026-2027""], ""pch"": [""2026-2027""], ""cic"": [""2026-2027""], ""fin"": [""2026-2027""], ""dfo-mpo"": [""2026-2027""], ""dfatd-maecd"": [""2026-2027""], ""hc-sc"": [""2026-2027""], ""esdc-edsc"": [""2026-2027""], ""aandc-aadnc"": [""2026-2027""], ""ic"": [""2026-2027""], ""jus"": [""2026-2027""], ""dnd-mdn"": [""2026-2027""], ""nrcan-rncan"": [""2026-2027""], ""ps-sp"": [""2026-2027""], ""pwgsc-tpsgc"": [""2026-2027""], ""tc"": [""2026-2027""], ""vac-acc"": [""2026-2027""], ""nrc-cnrc"": [""2026-2027""], ""nserc-crsng"": [""2026-2027""], ""infc"": [""2026-2027""], ""pc"": [""2026-2027""], ""phac-aspc"": [""2026-2027""], ""rcmp-grc"": [""2026-2027""], ""ssc-spc"": [""2026-2027""], ""sshrc-crsh"": [""2026-2027""], ""statcan"": [""2026-2027""], ""tbs-sct"": [""2026-2027""], ""isc-sac"": [""2026-2027""]}"
ISS09,Materiel Management Services,Services de gestion du matériel,"{""aafc-aac"": [""2026-2027""], ""cbsa-asfc"": [""2026-2027""], ""cra-arc"": [""2026-2027""], ""cfia-acia"": [""2026-2027""], ""cihr-irsc"": [""2026-2027""], ""csa-asc"": [""2026-2027""], ""csc-scc"": [""2026-2027""], ""pch"": [""2026-2027""], ""cic"": [""2026-2027""], ""fin"": [""2026-2027""], ""dfo-mpo"": [""2026-2027""], ""dfatd-maecd"": [""2026-2027""], ""hc-sc"": [""2026-2027""], ""esdc-edsc"": [""2026-2027""], ""aandc-aadnc"": [""2026-2027""], ""ic"": [""2026-2027""], ""jus"": [""2026-2027""], ""dnd-mdn"": [""2026-2027""], ""nrcan-rncan"": [""2026-2027""], ""ps-sp"": [""2026-2027""], ""pwgsc-tpsgc"": [""2026-2027""], ""tc"": [""2026-2027""], ""vac-acc"": [""2026-2027""], ""nrc-cnrc"": [""2026-2027""], ""nserc-crsng"": [""2026-2027""], ""infc"": [""2026-2027""], ""pc"": [""2026-2027""], ""phac-aspc"": [""2026-2027""], ""rcmp-grc"": [""2026-2027""], ""ssc-spc"": [""2026-2027""], ""sshrc-crsh"": [""2026-2027""], ""statcan"": [""2026-2027""], ""tbs-sct"": [""2026-2027""], ""isc-sac"": [""2026-2027""]}"
ISS0Z,Acquisition Management Services,Services de gestion des acquisitions,"{""aafc-aac"": [""2026-2027""], ""cbsa-asfc"": [""2026-2027""], ""cra-arc"": [""2026-2027""], ""cfia-acia"": [""2026-2027""], ""cihr-irsc"": [""2026-2027""], ""csa-asc"": [""2026-2027""], ""csc-scc"": [""2026-2027""], ""pch"": [""2026-2027""], ""cic"": [""2026-2027""], ""fin"": [""2026-2027""], ""dfo-mpo"": [""2026-2027""], ""dfatd-maecd"": [""2026-2027""], ""hc-sc"": [""2026-2027""], ""esdc-edsc"": [""2026-2027""], ""aandc-aadnc"": [""2026-2027""], ""ic"": [""2026-2027""], ""jus"": [""2026-2027""], ""dnd-mdn"": [""2026-2027""], ""nrcan-rncan"": [""2026-2027""], ""ps-sp"": [""2026-2027""], ""pwgsc-tpsgc"": [""2026-2027""], ""tc"": [""2026-2027""], ""vac-acc"": [""2026-2027""], ""nrc-cnrc"": [""2026-2027""], ""nserc-crsng"": [""2026-2027""], ""infc"": [""2026-2027""], ""pc"": [""2026-2027""], ""phac-aspc"": [""2026-2027""], ""rcmp-grc"": [""2026-2027""], ""ssc-spc"": [""2026-2027""], ""sshrc-crsh"": [""2026-2027""], ""statcan"": [""2026-2027""], ""tbs-sct"": [""2026-2027""], ""isc-sac"": [""2026-2027""]}"
ISSA1,Management and Oversight Services,Services de gestion et de surveillance,"{""aafc-aac"": [""2018-2019""], ""cbsa-asfc"": [""2018-2019""], ""cra-arc"": [""2018-2019""], ""cfia-acia"": [""2018-2019""], ""cihr-irsc"": [""2018-2019""], ""csa-asc"": [""2018-2019""], ""csc-scc"": [""2018-2019""], ""pch"": [""2018-2019""], ""cic"": [""2018-2019""], ""fin"": [""2018-2019""], ""dfo-mpo"": [""2018-2019""], ""dfatd-maecd"": [""2018-2019""], ""hc-sc"": [""2018-2019""], ""esdc-edsc"": [""2018-2019""], ""aandc-aadnc"": [""2018-2019""], ""ic"": [""2018-2019""], ""jus"": [""2018-2019""], ""dnd-mdn"": [""2018-2019""], ""nrcan-rncan"": [""2018-2019""], ""ps-sp"": [""2018-2019""], ""pwgsc-tpsgc"": [""2018-2019""], ""ec"": [""2018-2019""], ""tc"": [""2018-2019""], ""vac-acc"": [""2018-2019""], ""nrc-cnrc"": [""2018-2019""], ""nserc-crsng"": [""2018-2019""], ""infc"": [""2018-2019""], ""pc"": [""2018-2019""], ""phac-aspc"": [""2018-2019""], ""rcmp-grc"": [""2018-2019""], ""ssc-spc"": [""2018-2019""], ""sshrc-crsh"": [""2018-2019""], ""statcan"": [""2018-2019""], ""tbs-sct"": [""2018-2019""], ""isc-sac"": [""2018-2019""]}"
ISSA2,Communications Services,Services de communication,"{""aafc-aac"": [""2018-2019""], ""cbsa-asfc"": [""2018-2019""], ""cra-arc"": [""2018-2019""], ""cfia-acia"": [""2018-2019""], ""cihr-irsc"": [""2018-2019""], ""csa-asc"": [""2018-2019""], ""csc-scc"": [""2018-2019""], ""pch"": [""2018-2019""], ""cic"": [""2018-2019""], ""fin"": [""2018-2019""], ""dfo-mpo"": [""2018-2019""], ""dfatd-maecd"": [""2018-2019""], ""hc-sc"": [""2018-2019""], ""esdc-edsc"": [""2018-2019""], ""aandc-aadnc"": [""2018-2019""], ""ic"": [""2018-2019""], ""jus"": [""2018-2019""], ""dnd-mdn"": [""2018-2019""], ""nrcan-rncan"": [""2018-2019""], ""ps-sp"": [""2018-2019""], ""pwgsc-tpsgc"": [""2018-2019""], ""ec"": [""2018-2019""], ""tc"": [""2018-2019""], ""vac-acc"": [""2018-2019""], ""nrc-cnrc"": [""2018-2019""], ""nserc-crsng"": [""2018-2019""], ""infc"": [""2018-2019""], ""pc"": [""2018-2019""], ""phac-aspc"": [""2018-2019""], ""rcmp-grc"": [""2018-2019""], ""ssc-spc"": [""2018-2019""], ""sshrc-crsh"": [""2018-2019""], ""statcan"": [""2018-2019""], ""tbs-sct"": [""2018-2019""], ""isc-sac"": [""2018-2019""]}"
ISSA3,Legal Services,Services juridiques,"{""aafc-aac"": [""2018-2019""], ""cbsa-asfc"": [""2018-2019""], ""cra-arc"": [""2018-2019""], ""cfia-acia"": [""2018-2019""], ""cihr-irsc"": [""2018-2019""], ""csa-asc"": [""2018-2019""], ""csc-scc"": [""2018-2019""], ""pch"": [""2018-2019""], ""cic"": [""2018-2019""], ""fin"": [""2018-2019""], ""dfo-mpo"": [""2018-2019""], ""dfatd-maecd"": [""2018-2019""], ""hc-sc"": [""2018-2019""], ""esdc-edsc"": [""2018-2019""], ""aandc-aadnc"": [""2018-2019""], ""ic"": [""2018-2019""], ""jus"": [""2018-2019""], ""dnd-mdn"": [""2018-2019""], ""nrcan-rncan"": [""2018-2019""], ""ps-sp"": [""2018-2019""], ""pwgsc-tpsgc"": [""2018-2019""], ""ec"": [""2018-2019""], ""tc"": [""2018-2019""], ""vac-acc"": [""2018-2019""], ""nrc-cnrc"": [""2018-2019""], ""nserc-crsng"": [""2018-2019""], ""infc"": [""2018-2019""], ""pc"": [""2018-2019""], ""phac-aspc"": [""2018-2019""], ""rcmp-grc"": [""2018-2019""], ""ssc-spc"": [""2018-2019""], ""sshrc-crsh"": [""2018-2019""], ""statcan"": [""2018-2019""], ""tbs-sct"": [""2018-2019""], ""isc-sac"": [""2018-2019""]}"
ISSA4,Human Resources Management Services,Services de gestion des ressources humaines,"{""aafc-aac"": [""2018-2019""], ""cbsa-asfc"": [""2018-2019""], ""cra-arc"": [""2018-2019""], ""cfia-acia"": [""2018-2019""], ""cihr-irsc"": [""2018-2019""], ""csa-asc"": [""2018-2019""], ""csc-scc"": [""2018-2019""], ""pch"": [""2018-2019""], ""cic"": [""2018-2019""], ""fin"": [""2018-2019""], ""dfo-mpo"": [""2018-2019""], ""dfatd-maecd"": [""2018-2019""], ""hc-sc"": [""2018-2019""], ""esdc-edsc"": [""2018-2019""], ""aandc-aadnc"": [""2018-2019""], ""ic"": [""2018-2019""], ""jus"": [""2018-2019""], ""dnd-mdn"": [""2018-2019""], ""nrcan-rncan"": [""2018-2019""], ""ps-sp"": [""2018-2019""], ""pwgsc-tpsgc"": [""2018-2019""], ""ec"": [""2018-2019""], ""tc"": [""2018-2019""], ""vac-acc"": [""2018-2019""], ""nrc-cnrc"": [""2018-2019""], ""nserc-crsng"": [""2018-2019""], ""infc"": [""2018-2019""], ""pc"": [""2018-2019""], ""phac-aspc"": [""2018-2019""], ""rcmp-grc"": [""2018-2019""], ""ssc-spc"": [""2018-2019""], ""sshrc-crsh"": [""2018-2019""], ""statcan"": [""2018-2019""], ""tbs-sct"": [""2018-2019""], ""isc-sac"": [""2018-2019""]}"
ISSA5,Financial Management Services,Services de gestion financière,"{""aafc-aac"": [""2018-2019""], ""cbsa-asfc"": [""2018-2019""], ""cra-arc"": [""2018-2019""], ""cfia-acia"": [""2018-2019""], ""cihr-irsc"": [""2018-2019""], ""csa-asc"": [""2018-2019""], ""csc-scc"": [""2018-2019""], ""pch"": [""2018-2019""], ""cic"": [""2018-2019""], ""fin"": [""2018-2019""], ""dfo-mpo"": [""2018-2019""], ""dfatd-maecd"": [""2018-2019""], ""hc-sc"": [""2018-2019""], ""esdc-edsc"": [""2018-2019""], ""aandc-aadnc"": [""2018-2019""], ""ic"": [""2018-2019""], ""jus"": [""2018-2019""], ""dnd-mdn"": [""2018-2019""], ""nrcan-rncan"": [""2018-2019""], ""ps-sp"": [""2018-2019""], ""pwgsc-tpsgc"": [""2018-2019""], ""ec"": [""2018-2019""], ""tc"": [""2018-2019""], ""vac-acc"": [""2018-2019""], ""nrc-cnrc"": [""2018-2019""], ""nserc-crsng"": [""2018-2019""], ""infc"": [""2018-2019""], ""pc"": [""2018-2019""], ""phac-aspc"": [""2018-2019""], ""rcmp-grc"": [""2018-2019""], ""ssc-spc"": [""2018-2019""], ""sshrc-crsh"": [""2018-2019""], ""statcan"": [""2018-2019""], ""tbs-sct"": [""2018-2019""], ""isc-sac"": [""2018-2019""]}"
ISSA6,Information Management Services,Services de gestion de l'information,"{""aafc-aac"": [""2018-2019""], ""cbsa-asfc"": [""2018-2019""], ""cra-arc"": [""2018-2019""], ""cfia-acia"": [""2018-2019""], ""cihr-irsc"": [""2018-2019""], ""csa-asc"": [""2018-2019""], ""csc-scc"": [""2018-2019""], ""pch"": [""2018-2019""], ""cic"": [""2018-2019""], ""fin"": [""2018-2019""], ""dfo-mpo"": [""2018-2019""], ""dfatd-maecd"": [""2018-2019""], ""hc-sc"": [""2018-2019""], ""esdc-edsc"": [""2018-2019""], ""aandc-aadnc"": [""2018-2019""], ""ic"": [""2018-2019""], ""jus"": [""2018-2019""], ""dnd-mdn"": [""2018-2019""], ""nrcan-rncan"": [""2018-2019""], ""ps-sp"": [""2018-2019""], ""pwgsc-tpsgc"": [""2018-2019""], ""ec"": [""2018-2019""], ""tc"": [""2018-2019""], ""vac-acc"": [""2018-2019""], ""nrc-cnrc"": [""2018-2019""], ""nserc-crsng"": [""2018-2019""], ""infc"": [""2018-2019""], ""pc"": [""2018-2019""], ""phac-aspc"": [""2018-2019""], ""rcmp-grc"": [""2018-2019""], ""ssc-spc"": [""2018-2019""], ""sshrc-crsh"": [""2018-2019""], ""statcan"": [""2018-2019""], ""tbs-sct"": [""2018-2019""], ""isc-sac"": [""2018-2019""]}"
ISSA7,Information Technology Management Services,Services de gestion de la technologie de l'information,"{""aafc-aac"": [""2018-2019""], ""cbsa-asfc"": [""2018-2019""], ""cra-arc"": [""2018-2019""], ""cfia-acia"": [""2018-2019""], ""cihr-irsc"": [""2018-2019""], ""csa-asc"": [""2018-2019""], ""csc-scc"": [""2018-2019""], ""pch"": [""2018-2019""], ""cic"": [""2018-2019""], ""fin"": [""2018-2019""], ""dfo-mpo"": [""2018-2019""], ""dfatd-maecd"": [""2018-2019""], ""hc-sc"": [""2018-2019""], ""esdc-edsc"": [""2018-2019""], ""aandc-aadnc"": [""2018-2019""], ""ic"": [""2018-2019""], ""jus"": [""2018-2019""], ""dnd-mdn"": [""2018-2019""], ""nrcan-rncan"": [""2018-2019""], ""ps-sp"": [""2018-2019""], ""pwgsc-tpsgc"": [""2018-2019""], ""ec"": [""2018-2019""], ""tc"": [""2018-2019""], ""vac-acc"": [""2018-2019""], ""nrc-cnrc"": [""2018-2019""], ""nserc-crsng"": [""2018-2019""], ""infc"": [""2018-2019""], ""pc"": [""2018-2019""], ""phac-aspc"": [""2018-2019""], ""rcmp-grc"": [""2018-2019""], ""ssc-spc"": [""2018-2019""], ""sshrc-crsh"": [""2018-2019""], ""statcan"": [""2018-2019""], ""tbs-sct"": [""2018-2019""], ""isc-sac"": [""2018-2019""]}"
ISSA8,Real Property Management Services,Services de gestion des biens immobiliers,"{""aafc-aac"": [""2018-2019""], ""cbsa-asfc"": [""2018-2019""], ""cra-arc"": [""2018-2019""], ""cfia-acia"": [""2018-2019""], ""cihr-irsc"": [""2018-2019""], ""csa-asc"": [""2018-2019""], ""csc-scc"": [""2018-2019""], ""pch"": [""2018-2019""], ""cic"": [""2018-2019""], ""fin"": [""2018-2019""], ""dfo-mpo"": [""2018-2019""], ""dfatd-maecd"": [""2018-2019""], ""hc-sc"": [""2018-2019""], ""esdc-edsc"": [""2018-2019""], ""aandc-aadnc"": [""2018-2019""], ""ic"": [""2018-2019""], ""jus"": [""2018-2019""], ""dnd-mdn"": [""2018-2019""], ""nrcan-rncan"": [""2018-2019""], ""ps-sp"": [""2018-2019""], ""pwgsc-tpsgc"": [""2018-2019""], ""ec"": [""2018-2019""], ""tc"": [""2018-2019""], ""vac-acc"": [""2018-2019""], ""nrc-cnrc"": [""2018-2019""], ""nserc-crsng"": [""2018-2019""], ""infc"": [""2018-2019""], ""pc"": [""2018-2019""], ""phac-aspc"": [""2018-2019""], ""rcmp-grc"": [""2018-2019""], ""ssc-spc"": [""2018-2019""], ""sshrc-crsh"": [""2018-2019""], ""statcan"": [""2018-2019""], ""tbs-sct"": [""2018-2019""], ""isc-sac"": [""2018-2019""]}"
